19UUA75548A075786,1998,Volkswagen,Golf,3,2,87,6
1G6AL5S34D0811535,2005,Mercury,Grand Marquis,2,2,25,17
1FTMF1CW9AK179406,2007,Mazda,RX-8,2,3,114,10
5N1AA0NE5FN695024,2001,Isuzu,VehiCROSS,2,2,84,4
WAUBVAFB5AN015653,2011,Toyota,Highlander,3,3,201,6
1GKUKGEJ6AR537625,2010,Nissan,Titan,2,3,90,19
1GYS4KEF2DR161676,2002,Ford,Econoline E250,2,2,244,9
19UYA42522A629340,2007,Pontiac,Vibe,2,2,23,13
WDDGF4HB6CR904242,1994,Oldsmobile,Cutlass Supreme,2,2,176,14
5YMGY0C55BL311303,2011,Kia,Forte,2,2,43,19
WBA3G7C5XEK273027,1996,Ford,Bronco,2,2,166,14
3D7TT2CT4BG818843,2001,Ford,Econoline E350,2,2,12,13
5J6TF3H34CL644903,2007,Ford,Freestar,2,2,157,10
5UXFG8C58AL652911,1996,Chevrolet,Impala,2,3,231,9
SAJWA1CB9BL046908,1996,Toyota,T100,2,2,127,14
JHMZE2H38BS134621,2011,Nissan,Frontier,3,3,15,18
KNAFU6A27A5072560,2012,Nissan,Altima,3,2,124,17
5UXFA13594L913007,2011,Chevrolet,Aveo,3,3,171,16
WBASN4C52AC881922,1988,Suzuki,SJ,3,2,32,5
1D7RB1CT8BS657462,1985,Audi,Coupe GT,2,2,87,18
JTHBE1BL6E5476754,1999,Chrysler,300,2,2,113,3
1YVHZ8BH9C5757071,2004,Cadillac,SRX,3,2,116,9
WBAEV33462P953133,2005,Ford,F350,2,2,178,18
1FTSW3B52AE744685,2006,Dodge,Ram 2500,2,3,217,7
JTDKN3DU9B0878456,1997,Ford,Club Wagon,3,2,184,9
WAUKH98E97A492308,1984,Mitsubishi,Space,2,2,35,5
1N4AL3AP8EC871037,1998,Jaguar,XK Series,2,2,198,14
WAUDF48H38K927685,1994,Cadillac,DeVille,3,2,229,12
1GYFC43519R847371,2002,Infiniti,QX,3,3,150,10
WA1WMAFE8AD022162,1997,Audi,Riolet,2,2,33,4
5TFAW5F19EX523659,1966,Pontiac,Bonneville,2,2,220,10
WAUDH48H78K663347,2004,Suzuki,Aerio,2,2,70,6
SAJWA4GB8EL794761,1998,Mercedes-Benz,SLK-Class,2,3,243,4
WBA5B1C53FG234806,2007,Suzuki,Grand Vitara,2,2,16,6
WAUPL68E54A819771,2006,Mercedes-Benz,M-Class,3,3,201,5
WA1AV74L07D977672,2002,BMW,5 Series,2,2,93,7
1G6DJ1ED3B0197719,1988,Volkswagen,Cabriolet,2,2,86,5
WBA3B3G53DN471043,2006,Ford,E150,3,3,138,15
5YMGY0C55D0619415,2002,Pontiac,Firebird,2,2,114,9
2G4GT5GK7C9435811,2012,Jaguar,XF,3,3,90,10
WAUDL74F15N573741,2002,GMC,Sierra 3500,3,3,247,3
1HGCP2E39CA886598,2005,Mazda,B-Series,2,2,58,5
JTDKN3DU8A0656991,1994,Lexus,SC,3,3,84,12
JN8AZ1MU0DW977241,2007,Jaguar,X-Type,2,2,146,17
4T1BF3EK3BU070537,2007,Lincoln,Town Car,2,3,45,14
1FMJK1H55DE258486,1992,Cadillac,Eldorado,3,3,73,3
3C6TD5GT5CG630117,2012,Mercedes-Benz,SLS-Class,3,3,219,19
WBS3U9C56FP940986,1997,Mitsubishi,Eclipse,2,2,185,13
4T1BF3EK8BU745007,2010,Toyota,Prius,3,3,155,15
WAUDF98E95A487217,1994,Chevrolet,Suburban 2500,2,2,167,4
3D4PG5FV3AT773952,1998,Ford,Club Wagon,3,2,50,17
1G6DP577770462484,2008,Lincoln,Navigator L,2,2,192,8
WAUBFAFL4EA414167,2000,Acura,TL,2,2,196,4
2C3CCASG6DH364580,2009,Infiniti,G37,2,2,143,12
3N1CN7AP2DL786950,1995,Honda,Prelude,2,2,197,7
WAU2GBFC8DN282590,2005,Dodge,Stratus,2,3,39,18
1GYS3CEF6ER952948,1998,Dodge,Ram 1500 Club,2,2,217,12
