177,7
143,18
203,17
125,18
52,17
245,17
175,13
100,7
17,12
111,12
11,13
144,15
170,15
59,18
43,18
63,9
28,8
213,12
24,6
156,3
146,11
56,17
121,3
64,8
148,14
131,12
237,7
4,8
108,5
61,5
158,1
16,11
126,13
61,16
46,10
61,2
221,7
249,17
143,7
182,15
61,4
113,1
140,12
91,16
120,13
147,4
102,14
217,11
21,17
165,3
104,16
35,8
188,13
83,6
8,1
38,5
89,14
70,10
127,5
107,9
27,13
160,12
157,6
67,8
71,16
18,16
180,15
192,3
193,15
136,16
189,4
195,9
17,16
212,5
193,5
184,5
190,11
193,16
96,10
167,2
99,1
52,16
215,4
208,9
234,5
60,16
232,15
225,1
232,4
219,6
206,15
23,16
242,1
227,12
171,9
20,9
133,6
83,17
28,15
227,13
104,13
222,16
227,1
189,17
130,4
77,1
151,3
119,14
125,8
60,13
177,10
71,14
107,7
121,12
234,11
246,15
209,1
111,16
83,17
19,8
90,18
4,11
62,9
164,5
8,12
127,5
220,5
74,3
215,15
247,4
50,18
249,18
130,3
170,17
148,17
164,16
46,11
86,16
106,10
86,3
175,2
127,5
198,7
136,3
153,12
212,9
70,16
165,11
129,5
49,1
224,2
198,8
79,16
89,2
127,18
103,4
64,10
204,14
140,12
172,13
224,1
206,16
27,3
41,16
92,11
76,4
112,4
35,18
33,13
102,17
35,2
246,3
32,1
35,4
158,7
102,3
32,6
87,11
48,6
28,11
23,3
32,17
164,16
61,18
247,8
37,13
179,7
205,6
35,16
161,18
208,12
170,8
122,9
101,1
84,2
234,7
170,13
177,15
175,18
66,12
