10,219,843901
16,184,844910
22,221,845919
9,199,846928
21,209,847937
5,86,848946
5,198,849955
6,107,850964
1,186,851973
14,222,852982
2,113,853991
14,7,855000
15,137,856009
20,5,857018
10,188,858027
4,121,859036
15,151,860045
13,231,861054
4,122,862063
11,211,863072
13,150,864081
13,109,865090
22,9,866099
16,6,867108
7,129,868117
3,212,869126
9,223,870135
3,49,871144
15,52,872153
1,61,873162
17,237,874171
17,4,875180
20,219,876189
9,189,877198
4,228,878207
15,37,879216
17,48,880225
13,121,881234
6,126,882243
5,150,883252
7,107,884261
3,157,885270
21,167,886279
5,177,887288
2,205,888297
8,14,889306
3,164,890315
8,82,891324
12,44,892333
15,196,893342
16,34,894351
2,15,895360
3,195,896369
14,193,897378
2,242,898387
15,30,899396
22,183,900405
9,167,901414
21,97,902423
7,243,903432
11,188,904441
10,26,905450
21,150,906459
14,205,907468
2,141,908477
15,47,909486
14,54,910495
15,189,911504
10,101,912513
10,211,913522
18,88,914531
1,180,915540
10,224,916549
2,241,917558
5,163,918567
19,52,919576
12,14,920585
9,131,921594
12,144,922603
3,70,923612
9,142,924621
5,95,925630
19,96,926639
15,118,927648
22,196,928657
16,36,929666
12,18,930675
19,126,931684
6,127,932693
7,57,933702
20,210,934711
17,200,935720
11,138,936729
11,118,937738
21,223,938747
3,58,939756
22,250,940765
3,80,941774
18,169,942783
13,90,943792
13,210,944801
9,210,945810
4,180,946819
1,231,947828
6,68,948837
12,20,949846
16,11,950855
11,150,951864
10,104,952873
15,85,953882
9,150,954891
2,80,955900
1,117,956909
7,215,957918
8,39,958927
9,141,959936
5,215,960945
8,2,961954
19,50,962963
14,101,963972
2,153,964981
18,152,965990
20,216,966999
4,98,968008
17,92,969017
19,41,970026
20,128,971035
16,235,972044
5,247,973053
10,197,974062
21,208,975071
13,42,976080
5,111,977089
17,146,978098
18,205,979107
17,18,980116
10,212,981125
21,131,982134
3,113,983143
9,139,984152
14,203,985161
11,141,986170
10,87,987179
15,95,988188
12,243,989197
22,45,990206
13,159,991215
9,232,992224
11,38,993233
17,96,994242
16,33,995251
16,9,996260
12,224,997269
21,134,998278
6,235,999287
21,92,1000296
13,137,1001305
9,149,1002314
7,32,1003323
11,10,1004332
22,24,1005341
6,211,1006350
3,111,1007359
13,46,1008368
22,60,1009377
17,47,1010386
14,185,1011395
15,167,1012404
8,169,1013413
22,193,1014422
13,248,1015431
20,181,1016440
13,131,1017449
13,117,1018458
10,28,1019467
2,29,1020476
19,206,1021485
5,239,1022494
20,106,1023503
6,218,1024512
9,138,1025521
18,131,1026530
21,111,1027539
4,235,1028548
20,141,1029557
17,250,1030566
15,172,1031575
21,201,1032584
1,180,1033593
19,158,1034602
21,166,1035611
2,194,1036620
17,76,1037629
3,111,1038638
11,166,1039647
5,178,1040656
12,180,1041665
11,198,1042674
5,177,1043683
5,75,1044692
