62,231
156,162
56,208
144,154
129,216
5,206
17,193
249,52
105,232
141,246
67,50
187,94
164,114
248,53
115,34
209,189
15,121
21,126
213,243
196,185
122,121
177,249
153,17
83,75
56,55
222,137
207,79
194,186
8,32
241,86
188,122
213,27
124,58
23,165
7,165
226,146
40,5
146,124
111,36
37,61
112,76
105,182
125,28
107,120
207,142
128,75
192,187
249,238
157,98
70,105
125,211
192,11
27,83
239,77
223,70
33,101
175,206
9,156
31,176
202,205
215,205
233,140
23,185
156,151
104,175
56,176
135,75
31,119
246,210
110,31
131,61
215,73
120,30
118,37
26,136
34,46
170,81
211,138
207,227
240,229
159,187
164,206
118,69
173,80
26,145
39,17
241,212
79,7
46,176
6,129
57,10
153,93
177,125
118,191
188,136
160,145
203,45
216,24
42,49
140,246
217,242
4,51
60,178
199,206
18,18
132,144
15,172
91,45
200,163
134,148
67,229
151,86
95,148
238,206
47,216
91,39
11,57
157,196
95,87
192,230
40,229
176,163
53,171
158,191
157,110
77,177
84,143
71,117
161,107
35,247
122,35
70,117
213,121
135,78
148,127
210,182
18,163
103,2
22,237
242,192
171,237
16,67
100,247
78,123
233,196
7,191
244,179
13,249
199,82
90,173
137,60
67,117
145,224
167,234
25,243
199,85
137,189
94,21
235,44
146,57
12,97
165,61
62,7
224,169
187,15
177,123
227,136
99,249
124,239
190,3
191,131
59,5
244,59
239,195
233,28
125,248
61,83
3,230
154,58
71,28
206,212
186,193
142,82
208,183
248,224
128,106
220,150
112,90
26,17
59,185
48,198
5,239
229,184
222,22
119,112
34,95
172,164
156,132
91,96
152,148
