43,41
149,140
138,164
170,101
141,169
51,183
12,70
90,19
116,123
191,45
153,131
65,59
16,111
167,48
137,233
24,63
136,182
38,73
106,29
75,223
173,68
121,90
117,23
185,108
24,174
50,11
71,133
139,124
64,93
94,134
167,114
76,175
145,8
7,213
73,130
2,194
196,160
167,155
52,196
79,179
180,65
89,165
29,185
199,208
69,93
88,74
113,174
45,237
29,10
138,96
189,144
24,146
155,146
21,10
159,90
195,192
102,227
28,4
71,54
83,188
63,132
47,199
107,172
91,44
30,35
37,100
151,70
135,45
37,166
45,233
106,60
103,112
70,205
26,196
83,66
100,116
89,138
133,116
167,151
85,171
137,133
79,46
124,54
153,132
151,200
18,218
82,203
129,124
152,202
143,45
193,20
199,67
154,29
54,231
174,181
180,230
69,85
58,45
168,177
160,177
146,63
29,229
127,191
60,123
148,163
115,93
165,156
144,205
43,76
135,74
55,149
171,12
24,174
32,174
106,81
12,34
149,81
40,32
72,78
185,126
53,202
109,7
180,192
5,15
124,192
83,218
134,11
40,180
18,189
36,196
127,194
78,80
199,33
166,199
59,117
63,98
6,5
66,246
136,181
23,160
11,50
193,25
80,241
100,37
133,55
177,25
69,188
161,179
45,143
86,84
192,10
111,216
162,212
66,194
122,216
127,215
20,144
10,23
93,232
43,132
170,125
9,195
12,66
155,19
113,22
187,193
42,193
173,79
35,223
119,59
80,74
14,104
177,177
112,196
94,181
88,30
182,100
141,51
157,111
84,136
19,152
104,1
75,218
51,120
22,92
67,185
23,4
64,240
60,86
186,159
190,55
74,167
80,136
83,98
100,217
38,230
51,2
144,247
65,194
190,138
